Number,Translator,Chinese Sentences,Gloss,Note
fake_0000,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0001,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0002,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0003,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0004,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0005,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0006,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0007,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0008,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0009,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
fake_0010,Z,__FAKE_OLD__,__FAKE_OLD__,模拟旧词
