Number,Translator,Chinese Sentences,Gloss,video_file,Note
00001,Z,好,好,好_01.mp4,示例标注
00002,Z,好,好,好_02.mp4,
00003,Z,好,好,好_03.mp4,
00004,Z,好,好,好_04.mp4,
00005,Z,好,好,好_05.mp4,
00006,Z,好,好,好_06.mp4,
00007,Z,好,好,好_07.mp4,
00008,Z,好,好,好_08.mp4,
00009,Z,好,好,好_09.mp4,
00010,Z,好,好,好_10.mp4,
00011,Z,好,好,好_11.mp4,
00012,Z,好,好,好_12.mp4,
00013,Z,好,好,好_13.mp4,
00014,Z,好,好,好_14.mp4,
00015,Z,好,好,好_15.mp4,
00016,Z,好,好,好_16.mp4,
00017,Z,好,好,好_17.mp4,
00018,Z,好,好,好_18.mp4,
00019,Z,好,好,好_19.mp4,
00020,Z,好,好,好_20.mp4,
00021,Z,好,好,好_21.mp4,
00022,Z,好,好,好_22.mp4,
